Total Number of received beacons from preceding vehicle

vehicle   beacons   
V[1]       6325       
V[2]       5941       
V[3]       5705       
V[4]       5631       
V[5]       5813       
V[6]       5747       
V[7]       5475       
V[8]       5348       
V[9]       5359       
V[10]      5372       
V[11]      5282       
V[12]      5231       
V[13]      5133       
V[14]      5035       
V[15]      5523       
V[16]      5974       
V[17]      5848       
V[18]      5964       
V[19]      5793       
V[20]      5045       
V[21]      5104       
V[22]      5063       
V[23]      4979       
V[24]      4898       
V[25]      4855       
V[26]      4764       
V[27]      4816       
V[28]      4792       
V[29]      4583       
V[30]      4801       
V[31]      5085       
V[32]      5044       
V[33]      4924       
V[34]      4895       
V[35]      4463       
V[36]      4473       
V[37]      4410       
V[38]      4386       
V[39]      4369       
V[40]      4341       
V[41]      4283       
V[42]      4240       
V[43]      4200       
V[44]      4135       
