Total Number of received beacons from other vehicle

vehicle   beacons   
V[0]       141203     
V[2]       137032     
V[1]       135701     
V[3]       139505     
V[4]       141773     
V[5]       144845     
V[6]       147985     
V[7]       150155     
V[8]       151616     
V[9]       153612     
V[10]      154230     
V[11]      152687     
V[12]      152620     
V[13]      152033     
V[14]      152027     
V[15]      152185     
V[16]      151360     
V[17]      151290     
V[18]      150997     
V[19]      151133     
V[20]      149391     
V[21]      146723     
V[22]      144397     
V[23]      142035     
V[24]      139427     
V[25]      136866     
V[26]      133875     
V[27]      130832     
V[28]      127702     
V[29]      124567     
