loopDetector        vehicleName         vehicleEntryTime    vehicleLeaveTime    vehicleEntrySpeed     vehicleLeaveSpeed     

detector1            CACC1                508.38               508.63               20.00                20.00                
detector1            CACC2                509.28               509.53               20.00                20.00                
detector1            CACC3                510.18               510.43               20.00                20.00                
detector1            CACC4                511.08               511.33               20.00                20.00                
detector1            CACC5                511.98               512.23               20.00                20.00                
detector1            CACC6                515.83               516.08               20.00                20.00                
detector1            CACC7                516.73               516.98               20.00                20.00                
detector1            CACC8                517.63               517.88               20.00                20.00                
detector1            CACC9                518.53               518.78               20.00                20.00                
detector1            CACC10               519.43               519.68               20.00                20.00                
detector1            CACC11               523.28               523.53               20.00                20.00                
detector1            CACC12               524.18               524.43               20.00                20.00                
detector1            CACC13               525.08               525.33               20.00                20.00                
detector1            CACC14               525.98               526.23               20.00                20.00                
detector1            CACC15               526.88               527.13               20.00                20.00                
detector1            CACC16               530.73               530.98               20.00                20.00                
detector1            CACC17               531.63               531.88               20.00                20.00                
detector1            CACC18               532.53               532.78               20.00                20.00                
detector1            CACC19               533.43               533.68               20.00                20.00                
detector1            CACC20               534.33               534.58               20.00                20.00                
detector1            CACC21               538.18               538.43               20.00                20.00                
detector1            CACC22               539.08               539.33               20.00                20.00                
detector1            CACC23               539.98               540.23               20.00                20.00                
detector1            CACC24               540.88               541.13               20.00                20.00                
detector1            CACC25               541.78               542.03               20.00                20.00                
detector1            CACC26               545.63               545.88               20.00                20.00                
detector1            CACC27               546.53               546.78               20.00                20.00                
detector1            CACC28               547.43               547.68               20.00                20.00                
detector1            CACC29               548.33               548.58               20.00                20.00                
detector1            CACC30               549.23               549.48               20.00                20.00                
detector1            CACC31               553.08               553.33               20.00                20.00                
detector1            CACC32               553.98               554.23               20.00                20.00                
detector1            CACC33               554.88               555.13               20.00                20.00                
detector1            CACC34               555.78               556.03               20.00                20.00                
detector1            CACC35               556.68               556.93               20.00                20.00                
detector1            CACC36               560.53               560.78               20.00                20.00                
detector1            CACC37               561.43               561.68               20.00                20.00                
detector1            CACC38               562.33               562.58               20.00                20.00                
detector1            CACC39               563.23               563.48               20.00                20.00                
detector1            CACC40               564.13               564.38               20.00                20.00                
detector1            CACC41               567.98               568.23               20.00                20.00                
detector1            CACC42               568.88               569.13               20.00                20.00                
detector1            CACC43               569.78               570.03               20.00                20.00                
detector1            CACC44               570.68               570.93               20.00                20.00                
detector1            CACC45               571.58               571.83               20.00                20.00                
detector1            CACC46               575.43               575.68               20.00                20.00                
detector1            CACC47               576.33               576.58               20.00                20.00                
detector1            CACC48               577.23               577.48               20.00                20.00                
detector1            CACC49               578.13               578.38               20.00                20.00                
detector1            CACC50               579.03               579.28               20.00                20.00                
detector1            CACC51               582.88               583.13               20.00                20.00                
detector1            CACC52               583.78               584.03               20.00                20.00                
detector1            CACC53               584.68               584.93               20.00                20.00                
detector1            CACC54               585.58               585.83               20.00                20.00                
detector1            CACC55               586.48               586.73               20.00                20.00                
detector1            CACC56               590.33               590.58               20.00                20.00                
detector1            CACC57               591.23               591.48               20.00                20.00                
detector1            CACC58               592.13               592.38               20.00                20.00                
detector1            CACC59               593.03               593.28               20.00                20.00                
detector1            CACC60               593.93               594.18               20.00                20.00                
detector1            CACC61               597.78               598.03               20.00                20.00                
detector1            CACC62               598.68               598.93               20.00                20.00                
detector1            CACC63               599.58               599.83               20.00                20.00                
detector1            CACC64               600.48               600.73               20.00                20.00                
detector1            CACC65               601.38               601.63               20.00                20.00                
detector1            CACC66               605.23               605.48               20.00                20.00                
detector1            CACC67               606.13               606.38               20.00                20.00                
detector1            CACC68               607.03               607.28               20.00                20.00                
detector1            CACC69               607.93               608.18               20.00                20.00                
detector1            CACC70               608.83               609.08               20.00                20.00                
detector1            CACC71               612.68               612.93               20.00                20.00                
detector1            CACC72               613.58               613.83               20.00                20.00                
detector1            CACC73               614.48               614.73               20.00                20.00                
detector1            CACC74               615.38               615.63               20.00                20.00                
detector1            CACC75               616.28               616.53               20.00                20.00                
detector1            CACC76               620.13               620.38               20.00                20.00                
detector1            CACC77               621.03               621.28               20.00                20.00                
detector1            CACC78               621.93               622.18               20.00                20.00                
detector1            CACC79               622.83               623.08               20.00                20.00                
detector1            CACC80               623.73               623.98               20.00                20.00                
detector1            CACC81               627.58               627.83               20.00                20.00                
detector1            CACC82               628.48               628.73               20.00                20.00                
detector1            CACC83               629.38               629.63               20.00                20.00                
detector1            CACC84               630.28               630.53               20.00                20.00                
detector1            CACC85               631.18               631.43               20.00                20.00                
detector1            CACC86               635.03               635.28               20.00                20.00                
detector1            CACC87               635.93               636.18               20.00                20.00                
detector1            CACC88               636.83               637.08               20.00                20.00                
detector1            CACC89               637.73               637.98               20.00                20.00                
detector1            CACC90               638.63               638.88               20.00                20.00                
detector1            CACC91               642.48               642.73               20.00                20.00                
detector1            CACC92               643.38               643.63               20.00                20.00                
detector1            CACC93               644.28               644.53               20.00                20.00                
detector1            CACC94               645.18               645.43               20.00                20.00                
detector1            CACC95               646.08               646.33               20.00                20.00                
detector1            CACC96               649.93               650.18               20.00                20.00                
detector1            CACC97               650.83               651.08               20.00                20.00                
detector1            CACC98               651.73               651.98               20.00                20.00                
detector1            CACC99               652.63               652.88               20.00                20.00                
detector1            CACC100              653.53               653.78               20.00                20.00                
detector1            CACC101              657.38               657.63               20.00                20.00                
detector1            CACC102              658.28               658.53               20.00                20.00                
detector1            CACC103              659.18               659.43               20.00                20.00                
detector1            CACC104              660.08               660.33               20.00                20.00                
detector1            CACC105              660.98               661.23               20.00                20.00                
detector1            CACC106              664.83               665.08               20.00                20.00                
detector1            CACC107              665.73               665.98               20.00                20.00                
detector1            CACC108              666.63               666.88               20.00                20.00                
detector1            CACC109              667.53               667.78               20.00                20.00                
detector1            CACC110              668.43               668.68               20.00                20.00                
detector1            CACC111              672.28               672.53               20.00                20.00                
detector1            CACC112              673.18               673.43               20.00                20.00                
detector1            CACC113              674.08               674.33               20.00                20.00                
detector1            CACC114              674.98               675.23               20.00                20.00                
detector1            CACC115              675.88               676.13               20.00                20.00                
detector1            CACC116              679.73               679.98               20.00                20.00                
detector1            CACC117              680.63               680.88               20.00                20.00                
detector1            CACC118              681.53               681.78               20.00                20.00                
detector1            CACC119              682.43               682.68               20.00                20.00                
detector1            CACC120              683.33               683.58               20.00                20.00                
detector1            CACC121              687.17               687.42               19.91                19.92                
detector1            CACC122              688.07               688.32               19.92                19.93                
detector1            CACC123              688.97               689.22               19.93                19.94                
detector1            CACC124              689.94               690.17               21.45                21.42                
detector1            CACC125              691.57               691.76               25.10                25.60                
detector1            CACC126              694.58               694.75               29.50                29.15                
detector1            CACC127              697.37               697.51               35.89                35.45                
