Total Number of received beacons from preceding vehicle

vehicle   beacons   
V[1]       2337       
V[2]       2320       
V[4]       529        
V[3]       397        
V[5]       2662       
V[6]       2520       
V[7]       2512       
V[8]       2621       
V[9]       2580       
V[10]      2550       
V[11]      3017       
V[12]      2452       
V[13]      2481       
V[14]      2416       
V[15]      2446       
V[16]      2420       
V[17]      2470       
V[18]      2390       
V[19]      2459       
V[20]      2322       
V[21]      2313       
V[22]      2282       
V[23]      2150       
V[24]      2212       
V[25]      2218       
V[26]      2207       
V[27]      2120       
V[28]      2128       
V[29]      1932       
