Total Number of received beacons from other vehicle

vehicle   beacons   
V[0]       54875      
V[1]       53009      
V[2]       53607      
V[3]       54075      
V[4]       54518      
V[5]       55055      
V[6]       55178      
V[7]       55807      
V[8]       55546      
V[9]       55626      
V[10]      55142      
V[11]      55168      
V[12]      54733      
V[13]      54561      
V[14]      54077      
V[15]      53869      
V[16]      53581      
V[17]      52688      
V[18]      52674      
V[19]      51808      
V[20]      51988      
V[21]      51362      
V[22]      50702      
V[23]      49140      
V[24]      47999      
V[25]      46781      
V[26]      45588      
V[27]      44524      
V[28]      43183      
V[29]      41773      
