Total Number of dropped beacons from preceding vehicle

vehicle   beacons   
V[10]      1581       
V[1]       1633       
V[9]       1634       
V[7]       1612       
V[26]      1751       
V[14]      1616       
V[12]      1659       
V[6]       1628       
V[8]       1657       
V[2]       1597       
V[19]      1732       
V[21]      1706       
V[20]      1685       
V[22]      1709       
V[17]      1645       
V[15]      1606       
V[4]       1577       
V[3]       1655       
V[5]       1605       
V[23]      1719       
V[18]      1694       
V[11]      1592       
V[25]      1754       
V[13]      1606       
V[27]      1775       
V[29]      1724       
V[24]      1738       
V[28]      1842       
V[16]      1620       
