Total Number of dropped beacons from other vehicles

vehicle   beacons   
V[9]       21065      
V[4]       20547      
V[10]      21191      
V[2]       20452      
V[13]      21117      
V[16]      20965      
V[22]      21186      
V[25]      20705      
V[27]      20058      
V[29]      19561      
V[5]       20818      
V[17]      21239      
V[23]      21163      
V[8]       21456      
V[7]       20702      
V[14]      21255      
V[6]       21078      
V[3]       20544      
V[0]       20396      
V[24]      20632      
V[19]      21098      
V[18]      20989      
V[21]      21209      
V[11]      21060      
V[15]      21082      
V[12]      20947      
V[20]      21067      
V[1]       19771      
V[28]      19692      
V[26]      20546      
