timeStep    sender         receiver         type                     sendingPlnID        recPlnID            


4.10       CACC1           -                 state_waitForLaneChange        -                  -                   

4.20       CACC1           -                 state_platoonLeader            -                  -                   

6.30       CACC2           -                 state_waitForLaneChange        -                  -                   

6.40       CACC2           -                 state_platoonLeader            -                  -                   

6.43       CACC2           -                 state_sendMergeReq             -                  -                   
6.43       CACC2           CACC1             MERGE_REQ                      CACC2              CACC1               
6.43       CACC2           -                 state_waitForMergeReply        -                  -                   

6.43       CACC1           -                 state_sendMergeAccept          -                  -                   
6.43       CACC1           CACC2             MERGE_ACCEPT                   CACC1              CACC2               
6.43       CACC1           -                 state_waitForMergeDone         -                  -                   

6.44       CACC2           -                 state_mergeAccepted            -                  -                   
6.44       CACC2           -                 state_waitForCatchup           -                  -                   

7.44       CACC2           -                 state_sendMergeDone            -                  -                   
7.44       CACC2           CACC1             MERGE_DONE                     CACC1              CACC1               
7.44       CACC2           -                 state_platoonFollower          -                  -                   

7.44       CACC1           -                 state_mergeDone                -                  -                   
7.44       CACC1           -                 state_platoonLeader            -                  -                   

8.90       CACC3           -                 state_waitForLaneChange        -                  -                   

9.00       CACC3           -                 state_platoonLeader            -                  -                   

9.02       CACC3           -                 state_sendMergeReq             -                  -                   
9.02       CACC3           CACC1             MERGE_REQ                      CACC3              CACC1               
9.02       CACC3           -                 state_waitForMergeReply        -                  -                   

9.02       CACC1           -                 state_sendMergeAccept          -                  -                   
9.02       CACC1           CACC3             MERGE_ACCEPT                   CACC1              CACC3               
9.02       CACC1           -                 state_waitForMergeDone         -                  -                   

9.02       CACC3           -                 state_mergeAccepted            -                  -                   
9.02       CACC3           -                 state_waitForCatchup           -                  -                   

10.02      CACC3           -                 state_sendMergeDone            -                  -                   
10.02      CACC3           CACC1             MERGE_DONE                     CACC1              CACC1               
10.02      CACC3           -                 state_platoonFollower          -                  -                   

10.03      CACC1           -                 state_mergeDone                -                  -                   
10.03      CACC1           -                 state_platoonLeader            -                  -                   

11.40      CACC4           -                 state_waitForLaneChange        -                  -                   

11.50      CACC4           -                 state_platoonLeader            -                  -                   

11.53      CACC4           -                 state_sendMergeReq             -                  -                   
11.53      CACC4           CACC1             MERGE_REQ                      CACC4              CACC1               
11.53      CACC4           -                 state_waitForMergeReply        -                  -                   

11.53      CACC1           -                 state_sendMergeAccept          -                  -                   
11.53      CACC1           CACC4             MERGE_ACCEPT                   CACC1              CACC4               
11.53      CACC1           -                 state_waitForMergeDone         -                  -                   

11.53      CACC4           -                 state_mergeAccepted            -                  -                   
11.53      CACC4           -                 state_waitForCatchup           -                  -                   

13.03      CACC4           -                 state_sendMergeDone            -                  -                   
13.03      CACC4           CACC1             MERGE_DONE                     CACC1              CACC1               
13.03      CACC4           -                 state_platoonFollower          -                  -                   

13.04      CACC1           -                 state_mergeDone                -                  -                   
13.04      CACC1           -                 state_platoonLeader            -                  -                   

13.90      CACC5           -                 state_waitForLaneChange        -                  -                   

14.00      CACC5           -                 state_platoonLeader            -                  -                   

14.04      CACC5           -                 state_sendMergeReq             -                  -                   
14.04      CACC5           CACC1             MERGE_REQ                      CACC5              CACC1               
