index     timeStep    vehicleName    lane        pos        speed       TLid        yellowOrRed      


1          5.00       Veh1            NC_3         0.00       0.00       C               0               
1          5.00       Veh5            WC_3         0.00       0.00       C               0               

2          5.10       Veh1            NC_3         0.03       0.30       C               1               
2          5.10       Veh5            WC_3         0.03       0.30       C               0               

3          5.20       Veh1            NC_3         0.09       0.60       C               1               
3          5.20       Veh5            WC_3         0.09       0.60       C               0               

4          5.30       Veh1            NC_3         0.18       0.90       C               1               
4          5.30       Veh5            WC_3         0.18       0.90       C               0               

5          5.40       Veh1            NC_3         0.30       1.20       C               1               
5          5.40       Veh5            WC_3         0.30       1.20       C               0               

6          5.50       Veh1            NC_3         0.45       1.50       C               1               
6          5.50       Veh5            WC_3         0.45       1.50       C               0               

7          5.60       Veh1            NC_3         0.63       1.80       C               1               
7          5.60       Veh5            WC_3         0.63       1.80       C               0               

8          5.70       Veh1            NC_3         0.84       2.10       C               1               
8          5.70       Veh5            WC_3         0.84       2.10       C               0               

9          5.80       Veh1            NC_3         1.08       2.40       C               1               
9          5.80       Veh5            WC_3         1.08       2.40       C               0               

10         5.90       Veh1            NC_3         1.35       2.70       C               1               
10         5.90       Veh5            WC_3         1.35       2.70       C               0               

11         6.00       Veh1            NC_3         1.65       3.00       C               1               
11         6.00       Veh5            WC_3         1.65       3.00       C               0               

12         6.10       Veh1            NC_3         1.98       3.30       C               1               
12         6.10       Veh5            WC_3         1.98       3.30       C               0               

13         6.20       Veh1            NC_3         2.34       3.60       C               1               
13         6.20       Veh5            WC_3         2.34       3.60       C               0               

14         6.30       Veh1            NC_3         2.73       3.90       C               1               
14         6.30       Veh5            WC_3         2.73       3.90       C               0               

15         6.40       Veh1            NC_3         3.15       4.20       C               1               
15         6.40       Veh5            WC_3         3.15       4.20       C               0               

16         6.50       Veh1            NC_3         3.60       4.50       C               1               
16         6.50       Veh5            WC_3         3.60       4.50       C               0               

17         6.60       Veh1            NC_3         4.08       4.80       C               1               
17         6.60       Veh5            WC_3         4.08       4.80       C               0               

18         6.70       Veh1            NC_3         4.59       5.10       C               1               
18         6.70       Veh5            WC_3         4.59       5.10       C               0               

19         6.80       Veh1            NC_3         5.13       5.40       C               1               
19         6.80       Veh5            WC_3         5.13       5.40       C               0               

20         6.90       Veh1            NC_3         5.70       5.70       C               1               
20         6.90       Veh5            WC_3         5.70       5.70       C               0               

21         7.00       Veh1            NC_3         6.30       6.00       C               1               
21         7.00       Veh5            WC_3         6.30       6.00       C               0               

22         7.10       Veh1            NC_3         6.93       6.30       C               1               
22         7.10       Veh5            WC_3         6.93       6.30       C               0               

23         7.20       Veh1            NC_3         7.59       6.60       C               1               
23         7.20       Veh9            NC_3         0.00       0.00       C               0               
23         7.20       Veh5            WC_3         7.59       6.60       C               0               
23         7.20       Veh10           WC_3         0.00       0.00       C               0               

24         7.30       Veh1            NC_3         8.28       6.90       C               1               
24         7.30       Veh9            NC_3         0.03       0.30       C               1               
24         7.30       Veh5            WC_3         8.28       6.90       C               0               
24         7.30       Veh10           WC_3         0.03       0.30       C               0               

25         7.40       Veh1            NC_3         9.00       7.20       C               1               
