loopDetector        vehicleName         vehicleEntryTime    vehicleLeaveTime    vehicleEntrySpeed     vehicleLeaveSpeed     

detector1            CACC1                28.38                28.63                20.00                20.00                
detector1            CACC2                29.28                29.53                20.00                20.00                
detector1            CACC3                30.18                30.43                19.94                19.94                
detector1            CACC4                31.53                31.74                24.07                23.78                
detector1            CACC5                33.71                33.87                30.71                30.49                
detector1            CACC6                38.14                38.27                38.75                38.60                
detector1            CACC7                41.49                41.58                52.24                51.80                
detector1            CACC8                46.49                46.58                52.24                51.80                
detector1            CACC9                51.36                51.45                56.24                55.98                
detector1            CACC10               55.39                55.47                71.08                70.62                
detector1            CACC11               60.39                60.47                71.08                70.62                
detector1            CACC12               65.23                -1.00                74.80                -1.00                
detector1            CACC13               69.72                -1.00                87.27                -1.00                
detector1            CACC14               74.72                -1.00                87.27                -1.00                
detector1            CACC15               79.72                -1.00                87.27                -1.00                
detector1            CACC16               84.26                84.31                102.74               102.69               
detector1            CACC17               89.26                89.31                102.74               102.69               
detector1            CACC18               94.26                94.31                102.74               102.69               
detector1            CACC19               99.25                -1.00                105.82               -1.00                
detector1            CACC20               103.92               -1.00                116.90               -1.00                
detector1            CACC21               108.92               -1.00                116.90               -1.00                
detector1            CACC22               113.92               -1.00                116.90               -1.00                
detector1            CACC23               118.92               -1.00                116.90               -1.00                
detector1            CACC24               123.67               123.71               130.72               130.56               
detector1            CACC25               128.68               128.71               130.72               130.56               
detector1            CACC26               133.68               133.71               130.72               130.56               
detector1            CACC27               138.68               138.71               130.72               130.56               
detector1            CACC28               143.67               143.71               133.53               133.42               
detector1            CACC29               148.49               148.52               143.67               143.39               
detector1            CACC30               153.49               153.52               143.67               143.39               
detector1            CACC31               158.49               158.52               143.67               143.39               
detector1            CACC32               163.49               163.52               143.67               143.39               
detector1            CACC33               168.48               168.51               146.34               146.14               
detector1            CACC34               173.34               -1.00                155.71               -1.00                
detector1            CACC35               178.34               -1.00                155.71               -1.00                
detector1            CACC36               183.34               -1.00                155.71               -1.00                
detector1            CACC37               188.34               -1.00                155.71               -1.00                
detector1            CACC38               193.34               -1.00                155.71               -1.00                
detector1            CACC39               198.22               -1.00                167.35               -1.00                
detector1            CACC40               203.22               -1.00                167.35               -1.00                
detector1            CACC41               208.22               -1.00                167.35               -1.00                
detector1            CACC42               213.22               -1.00                167.35               -1.00                
detector1            CACC43               218.22               -1.00                167.35               -1.00                
detector1            CACC44               223.13               -1.00                178.57               -1.00                
detector1            CACC45               228.13               -1.00                178.57               -1.00                
detector1            CACC46               233.13               -1.00                178.57               -1.00                
detector1            CACC47               238.13               -1.00                178.57               -1.00                
detector1            CACC48               243.13               -1.00                178.57               -1.00                
detector1            CACC49               248.12               -1.00                180.88               -1.00                
detector1            CACC50               253.06               -1.00                189.38               -1.00                
detector1            CACC51               258.06               -1.00                189.38               -1.00                
detector1            CACC52               263.06               -1.00                189.38               -1.00                
