timeStep    sender         receiver         type                     sendingPlnID        recPlnID            


4.10       CACC1           -                 state_waitForLaneChange        -                  -                   

4.20       CACC1           -                 state_platoonLeader            -                  -                   

6.30       CACC2           -                 state_waitForLaneChange        -                  -                   

6.40       CACC2           -                 state_platoonLeader            -                  -                   

6.42       CACC2           -                 state_sendMergeReq             -                  -                   
6.42       CACC2           CACC1             MERGE_REQ                      CACC2              CACC1               
6.42       CACC2           -                 state_waitForMergeReply        -                  -                   

6.43       CACC1           -                 state_sendMergeAccept          -                  -                   
6.43       CACC1           CACC2             MERGE_ACCEPT                   CACC1              CACC2               
6.43       CACC1           -                 state_waitForMergeDone         -                  -                   

6.43       CACC2           -                 state_mergeAccepted            -                  -                   
6.43       CACC2           -                 state_waitForCatchup           -                  -                   
