index     timeStep    vehicleName    vehicleType      lane        pos        speed       accel       CFMode              timeGapSetting      SpaceGap  timeGap         TLid             yellowOrRed      


1          6.00       v1              TypeManual      2to12_0      0.00       0.00       0.00       Undefined           1.64                 -1.00      -1.00            12                0                 

2          7.00       v1              TypeManual      2to12_0      3.00       3.00       3.00       Undefined           1.64                 -1.00      -1.00            12                0                 

3          8.00       v1              TypeManual      2to12_0      9.00       6.00       3.00       Undefined           1.64                 -1.00      -1.00            12                0                 

4          9.00       v1              TypeManual      2to12_0      18.00      9.00       3.00       Undefined           1.64                 -1.00      -1.00            12                0                 

5          10.00      v1              TypeManual      2to12_0      29.18      11.18      2.18       Undefined           1.64                 -1.00      -1.00            12                1                 

6          11.00      v1              TypeManual      2to12_0      40.36      11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

7          12.00      v2              TypeManual      18to8_0      0.00       0.00       0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
7          12.00      v1              TypeManual      2to12_0      51.54      11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

8          13.00      v2              TypeManual      18to8_0      3.00       3.00       3.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
8          13.00      v1              TypeManual      2to12_0      62.72      11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

9          14.00      v2              TypeManual      18to8_0      9.00       6.00       3.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
9          14.00      v1              TypeManual      2to12_0      73.90      11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

10         15.00      v2              TypeManual      18to8_0      18.00      9.00       3.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
10         15.00      v1              TypeManual      2to12_0      85.08      11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

11         16.00      v2              TypeManual      18to8_0      29.18      11.18      2.18       Undefined           1.64                 -1.00      -1.00            8                 0                 
11         16.00      v1              TypeManual      2to12_0      96.26      11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

12         17.00      v2              TypeManual      18to8_0      40.36      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
12         17.00      v1              TypeManual      2to12_0      107.44     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

13         18.00      v2              TypeManual      18to8_0      51.54      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
13         18.00      v3              TypeManual      20to19_0     0.00       0.00       0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
13         18.00      v1              TypeManual      2to12_0      118.62     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

14         19.00      v2              TypeManual      18to8_0      62.72      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
14         19.00      v3              TypeManual      20to19_0     3.00       3.00       3.00       Undefined           1.64                 -1.00      -1.00            19                0                 
14         19.00      v1              TypeManual      2to12_0      129.80     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

15         20.00      v2              TypeManual      18to8_0      73.90      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
